,ano,mes,descrição da despesa,Valor Anual Previsto na LOA,valor mensal empenhado,Valor Acumulado
0,2022,dez,LEGISLATIVA,"210.073.510,00","26.412.152,41","225.918.803,55"
1,2022,dez,JUDICIARIA,"51.241.733,00","7.184.713,07","57.723.451,39"
2,2022,dez,ESSENCIAL A JUSTICA,"965.204,00","-161.025,25","765.411,06"
3,2022,dez,ADMINISTRACAO,"830.313.303,00","16.405.025,02","842.457.528,49"
4,2022,dez,SEGURANCA PUBLICA,"318.860.468,00","34.346.462,57","315.414.877,80"
5,2022,dez,ASSISTENCIA SOCIAL,"272.873.334,00","-656.966,98","131.467.041,74"
6,2022,dez,PREVIDENCIA SOCIAL,"1.042.999.657,00","178.980.596,25","1.291.905.183,15"
7,2022,dez,SAUDE,"2.702.685.442,00","139.168.359,53","2.884.691.968,60"
8,2022,dez,TRABALHO,"17.985.423,00","2.412.597,44","22.631.590,09"
9,2022,dez,EDUCACAO,"2.413.922.501,00","293.033.496,54","2.651.643.116,25"
10,2022,dez,CULTURA,"102.462.129,00","-3.688.466,05","42.097.589,76"
11,2022,dez,DIREITOS DA CIDADANIA,"80.470.288,00","1.238.440,96","47.762.232,05"
12,2022,dez,URBANISMO,"912.536.535,00","-3.525.851,84","771.989.928,05"
13,2022,dez,HABITACAO,"69.388.749,00","11.137.160,55","26.056.632,17"
14,2022,dez,SANEAMENTO,"129.237.134,00","-847.103,46","87.264.204,42"
15,2022,dez,GESTAO AMBIENTAL,"90.975.885,00","7.482.059,41","96.637.652,92"
16,2022,dez,CIENCIA E TECNOLOGIA,"9.482.758,00","-593.607,79","5.540.512,90"
17,2022,dez,COMERCIO E SERVICOS,"4.894.488,00","384.265,95","4.010.689,75"
18,2022,dez,COMUNICACOES,"17.241.000,00","-1.772.124,26","12.210.959,65"
19,2022,dez,ENERGIA,"87.095.954,00","14.297.555,39","117.865.413,25"
20,2022,dez,TRANSPORTE,"103.365.000,00","33.992.965,64","185.897.427,58"
21,2022,dez,DESPORTO E LAZER,"13.608.983,00","-567.650,87","13.043.619,18"
22,2022,dez,ENCARGOS ESPECIAIS,"456.558.082,00","70.721.151,12","449.562.983,95"
23,2022,dez,RESERVA DE CONTINGENCIA,"304.934,00","0,00","0,00"
24,2022,dez,TOTAIS,"9.939.542.494,00","825.384.205,35","10.284.558.817,75"
0,2022,nov,LEGISLATIVA,"210.073.510,00","11.650.718,52","199.506.651,14"
1,2022,nov,JUDICIARIA,"51.241.733,00","4.922.751,38","50.538.738,32"
2,2022,nov,ESSENCIAL A JUSTICA,"965.204,00","238.710,71","926.436,31"
3,2022,nov,ADMINISTRACAO,"830.313.303,00","145.343.101,87","826.052.503,47"
4,2022,nov,SEGURANCA PUBLICA,"318.860.468,00","35.682.889,12","281.068.415,23"
5,2022,nov,ASSISTENCIA SOCIAL,"272.873.334,00","25.455.334,97","132.124.008,72"
6,2022,nov,PREVIDENCIA SOCIAL,"1.042.999.657,00","105.272.918,31","1.112.924.586,90"
7,2022,nov,SAUDE,"2.702.685.442,00","324.357.151,12","2.745.523.609,07"
8,2022,nov,TRABALHO,"17.985.423,00","5.674.956,72","20.218.992,65"
9,2022,nov,EDUCACAO,"2.413.922.501,00","239.864.713,97","2.358.609.619,71"
10,2022,nov,CULTURA,"102.462.129,00","16.908.380,29","45.786.055,81"
11,2022,nov,DIREITOS DA CIDADANIA,"80.470.288,00","8.317.908,20","46.523.791,09"
12,2022,nov,URBANISMO,"912.536.535,00","87.682.563,27","775.515.779,89"
13,2022,nov,HABITACAO,"69.388.749,00","2.287.644,03","14.919.471,62"
14,2022,nov,SANEAMENTO,"129.237.134,00","-5.779.827,90","88.111.307,88"
15,2022,nov,GESTAO AMBIENTAL,"90.975.885,00","7.922.760,08","89.155.593,51"
16,2022,nov,CIENCIA E TECNOLOGIA,"9.482.758,00","749.346,47","6.134.120,69"
17,2022,nov,COMERCIO E SERVICOS,"4.894.488,00","292.753,53","3.626.423,80"
18,2022,nov,COMUNICACOES,"17.241.000,00","603.000,00","13.983.083,91"
19,2022,nov,ENERGIA,"87.095.954,00","3.054.802,08","103.567.857,86"
20,2022,nov,TRANSPORTE,"103.365.000,00","17.156.694,38","151.904.461,94"
21,2022,nov,DESPORTO E LAZER,"13.608.983,00","2.181.825,59","13.611.270,05"
22,2022,nov,ENCARGOS ESPECIAIS,"456.558.082,00","38.001.302,86","378.841.832,83"
23,2022,nov,RESERVA DE CONTINGENCIA,"304.934,00","0,00","0,00"
24,2022,nov,TOTAIS,"9.939.542.494,00","1.077.842.399,57","9.459.174.612,40"
0,2022,out,LEGISLATIVA,"210.073.510,00","18.699.618,63","187.855.932,62"
1,2022,out,JUDICIARIA,"51.241.733,00","4.583.723,10","45.615.986,94"
2,2022,out,ESSENCIAL A JUSTICA,"965.204,00","93.065,01","687.725,60"
3,2022,out,ADMINISTRACAO,"830.313.303,00","71.275.142,83","680.709.401,60"
4,2022,out,SEGURANCA PUBLICA,"318.860.468,00","27.468.015,76","245.385.526,11"
5,2022,out,ASSISTENCIA SOCIAL,"272.873.334,00","10.326.083,26","106.668.673,75"
6,2022,out,PREVIDENCIA SOCIAL,"1.042.999.657,00","101.643.815,95","1.007.651.668,59"
7,2022,out,SAUDE,"2.702.685.442,00","278.202.096,83","2.421.166.457,95"
8,2022,out,TRABALHO,"17.985.423,00","1.893.352,01","14.544.035,93"
9,2022,out,EDUCACAO,"2.413.922.501,00","217.463.946,47","2.118.744.905,74"
10,2022,out,CULTURA,"102.462.129,00","3.143.743,89","28.877.675,52"
11,2022,out,DIREITOS DA CIDADANIA,"80.470.288,00","5.468.585,40","38.205.882,89"
12,2022,out,URBANISMO,"912.536.535,00","74.014.860,45","687.833.216,62"
13,2022,out,HABITACAO,"69.388.749,00","1.444.228,01","12.631.827,59"
14,2022,out,SANEAMENTO,"129.237.134,00","-6.652.811,56","93.891.135,78"
15,2022,out,GESTAO AMBIENTAL,"90.975.885,00","10.202.113,46","81.232.833,43"
16,2022,out,CIENCIA E TECNOLOGIA,"9.482.758,00","414.414,25","5.384.774,22"
17,2022,out,COMERCIO E SERVICOS,"4.894.488,00","267.238,15","3.333.670,27"
18,2022,out,COMUNICACOES,"17.241.000,00","52.475,11","13.380.083,91"
19,2022,out,ENERGIA,"87.095.954,00","11.136.287,66","100.513.055,78"
20,2022,out,TRANSPORTE,"103.365.000,00","13.485.564,93","134.747.767,56"
21,2022,out,DESPORTO E LAZER,"13.608.983,00","2.102.799,41","11.429.444,46"
22,2022,out,ENCARGOS ESPECIAIS,"456.558.082,00","41.674.104,46","340.840.529,97"
23,2022,out,RESERVA DE CONTINGENCIA,"304.934,00","0,00","0,00"
24,2022,out,TOTAIS,"9.939.542.494,00","888.402.463,47","8.381.332.212,83"
