,ano,mes,descrição da despesa,Valor Anual Previsto na LOA,valor mensal empenhado,Valor Acumulado
0,2014,dez,LEGISLATIVA,"144.430.930,00","6.580.867,43","130.550.367,86"
1,2014,dez,JUDICIARIA,"47.855.904,00","5.641.132,94","44.443.362,91"
2,2014,dez,ESSENCIAL A JUSTICA,"700.000,00","6.667,02","184.352,54"
3,2014,dez,ADMINISTRACAO,"738.424.396,00","79.158.572,90","575.851.088,33"
4,2014,dez,SEGURANCA PUBLICA,"187.515.487,00","31.333.328,93","158.127.931,00"
5,2014,dez,RELACOES EXTERIORES,"80.000,00","0,00","0,00"
6,2014,dez,ASSISTENCIA SOCIAL,"98.214.864,00","13.370.380,49","75.567.931,41"
7,2014,dez,PREVIDENCIA SOCIAL,"410.466.396,00","62.902.039,23","474.414.194,43"
8,2014,dez,SAUDE,"1.784.494.635,00","205.909.162,04","1.771.835.384,86"
9,2014,dez,TRABALHO,"23.651.055,00","901.405,65","4.922.471,27"
10,2014,dez,EDUCACAO,"1.365.619.051,00","145.842.576,28","1.049.479.656,48"
11,2014,dez,CULTURA,"57.645.418,00","5.236.886,50","44.820.159,52"
12,2014,dez,DIREITOS DA CIDADANIA,"49.733.007,00","2.690.130,67","25.177.163,43"
13,2014,dez,URBANISMO,"957.855.206,00","159.687.887,34","725.553.553,04"
14,2014,dez,HABITACAO,"79.551.668,00","4.259.822,88","24.008.296,82"
15,2014,dez,SANEAMENTO,"350.000,00","0,00","0,00"
16,2014,dez,GESTAO AMBIENTAL,"112.173.066,00","12.007.956,33","82.728.091,26"
17,2014,dez,CIENCIA E TECNOLOGIA,"26.718.000,00","229.667,33","734.359,25"
18,2014,dez,AGRICULTURA,"105.000,00","0,00","0,00"
19,2014,dez,COMERCIO E SERVICOS,"129.279.438,00","17.436.268,35","85.798.863,22"
20,2014,dez,COMUNICACOES,"1.975.000,00","0,00","0,00"
21,2014,dez,TRANSPORTE,"3.400.000,00","0,00","0,00"
22,2014,dez,DESPORTO E LAZER,"26.211.374,00","1.074.205,12","18.273.975,38"
23,2014,dez,ENCARGOS ESPECIAIS,"147.405.805,00","18.156.230,39","122.486.843,02"
24,2014,dez,RESERVA DE CONTINGENCIA,"1.708.560,00","0,00","0,00"
25,2014,dez,TOTAIS,"6.395.564.260,00","772.425.187,82","5.414.958.046,03"
0,2014,nov,LEGISLATIVA,"144.430.930,00","8.989.075,85","123.969.500,43"
1,2014,nov,JUDICIARIA,"47.855.904,00","3.619.240,34","38.802.229,97"
2,2014,nov,ESSENCIAL A JUSTICA,"700.000,00","40.787,02","177.685,52"
3,2014,nov,ADMINISTRACAO,"738.424.396,00","40.174.629,82","496.692.515,43"
4,2014,nov,SEGURANCA PUBLICA,"187.515.487,00","10.416.726,62","126.794.602,07"
5,2014,nov,RELACOES EXTERIORES,"80.000,00","0,00","0,00"
6,2014,nov,ASSISTENCIA SOCIAL,"98.214.864,00","6.625.477,48","62.197.550,92"
7,2014,nov,PREVIDENCIA SOCIAL,"410.466.396,00","40.217.825,67","411.512.155,20"
8,2014,nov,SAUDE,"1.784.494.635,00","136.981.312,91","1.565.926.222,82"
9,2014,nov,TRABALHO,"23.651.055,00","489.485,48","4.021.065,62"
10,2014,nov,EDUCACAO,"1.365.619.051,00","88.392.798,06","903.637.080,20"
11,2014,nov,CULTURA,"57.645.418,00","7.609.637,67","39.583.273,02"
12,2014,nov,DIREITOS DA CIDADANIA,"49.733.007,00","2.228.315,51","22.487.032,76"
13,2014,nov,URBANISMO,"957.855.206,00","18.659.288,00","565.865.665,70"
14,2014,nov,HABITACAO,"79.551.668,00","2.328.957,23","19.748.473,94"
15,2014,nov,SANEAMENTO,"350.000,00","0,00","0,00"
16,2014,nov,GESTAO AMBIENTAL,"112.173.066,00","6.053.372,97","70.720.134,93"
17,2014,nov,CIENCIA E TECNOLOGIA,"26.718.000,00","27.888,01","504.691,92"
18,2014,nov,AGRICULTURA,"105.000,00","0,00","0,00"
19,2014,nov,COMERCIO E SERVICOS,"129.279.438,00","10.639.130,84","68.362.594,87"
20,2014,nov,COMUNICACOES,"1.975.000,00","0,00","0,00"
21,2014,nov,TRANSPORTE,"3.400.000,00","0,00","0,00"
22,2014,nov,DESPORTO E LAZER,"26.211.374,00","361.882,08","17.199.770,26"
23,2014,nov,ENCARGOS ESPECIAIS,"147.405.805,00","8.165.919,35","104.330.612,63"
24,2014,nov,RESERVA DE CONTINGENCIA,"1.708.560,00","0,00","0,00"
25,2014,nov,TOTAIS,"6.395.564.260,00","392.021.750,91","4.642.532.858,21"
0,2014,out,LEGISLATIVA,"144.430.930,00","9.167.075,75","114.980.424,58"
1,2014,out,JUDICIARIA,"47.855.904,00","3.532.051,54","35.182.989,63"
2,2014,out,ESSENCIAL A JUSTICA,"700.000,00","33.190,04","136.898,50"
3,2014,out,ADMINISTRACAO,"738.424.396,00","39.000.042,26","456.517.885,61"
4,2014,out,SEGURANCA PUBLICA,"187.515.487,00","12.862.582,72","116.377.875,45"
5,2014,out,RELACOES EXTERIORES,"80.000,00","0,00","0,00"
6,2014,out,ASSISTENCIA SOCIAL,"98.214.864,00","6.683.170,45","55.572.073,44"
7,2014,out,PREVIDENCIA SOCIAL,"410.466.396,00","39.458.134,20","371.294.329,53"
8,2014,out,SAUDE,"1.784.494.635,00","137.685.837,07","1.428.944.909,91"
9,2014,out,TRABALHO,"23.651.055,00","9.364,73","3.531.580,14"
10,2014,out,EDUCACAO,"1.365.619.051,00","81.521.405,76","815.244.282,14"
11,2014,out,CULTURA,"57.645.418,00","2.206.724,83","31.973.635,35"
12,2014,out,DIREITOS DA CIDADANIA,"49.733.007,00","2.165.008,80","20.258.717,25"
13,2014,out,URBANISMO,"957.855.206,00","58.138.488,98","547.206.377,70"
14,2014,out,HABITACAO,"79.551.668,00","2.023.124,06","17.419.516,71"
15,2014,out,SANEAMENTO,"350.000,00","0,00","0,00"
16,2014,out,GESTAO AMBIENTAL,"112.173.066,00","7.395.141,35","64.666.761,96"
17,2014,out,CIENCIA E TECNOLOGIA,"26.718.000,00","14.271,07","476.803,91"
18,2014,out,AGRICULTURA,"105.000,00","0,00","0,00"
19,2014,out,COMERCIO E SERVICOS,"129.279.438,00","1.026.869,61","57.723.464,03"
20,2014,out,COMUNICACOES,"1.975.000,00","0,00","0,00"
21,2014,out,TRANSPORTE,"3.400.000,00","0,00","0,00"
22,2014,out,DESPORTO E LAZER,"26.211.374,00","503.196,29","16.837.888,18"
23,2014,out,ENCARGOS ESPECIAIS,"147.405.805,00","8.499.320,95","96.164.693,28"
24,2014,out,RESERVA DE CONTINGENCIA,"1.708.560,00","0,00","0,00"
25,2014,out,TOTAIS,"6.395.564.260,00","411.925.000,46","4.250.511.107,30"
0,2014,set,LEGISLATIVA,"144.430.930,00","7.491.881,01","105.813.348,83"
1,2014,set,JUDICIARIA,"47.855.904,00","3.508.671,56","31.650.938,09"
2,2014,set,ESSENCIAL A JUSTICA,"700.000,00","6.522,00","103.708,46"
3,2014,set,ADMINISTRACAO,"738.424.396,00","49.544.496,99","417.517.843,35"
4,2014,set,SEGURANCA PUBLICA,"187.515.487,00","15.459.189,53","103.515.292,73"
5,2014,set,RELACOES EXTERIORES,"80.000,00","0,00","0,00"
6,2014,set,ASSISTENCIA SOCIAL,"98.214.864,00","7.907.509,47","48.888.902,99"
7,2014,set,PREVIDENCIA SOCIAL,"410.466.396,00","38.669.887,53","331.836.195,33"
8,2014,set,SAUDE,"1.784.494.635,00","137.494.094,88","1.291.259.072,84"
9,2014,set,TRABALHO,"23.651.055,00","592.791,49","3.522.215,41"
10,2014,set,EDUCACAO,"1.365.619.051,00","78.926.119,56","733.722.876,38"
11,2014,set,CULTURA,"57.645.418,00","3.069.982,23","29.766.910,52"
12,2014,set,DIREITOS DA CIDADANIA,"49.733.007,00","1.778.690,08","18.093.708,45"
13,2014,set,URBANISMO,"957.855.206,00","49.828.112,46","489.067.888,72"
14,2014,set,HABITACAO,"79.551.668,00","1.806.310,63","15.396.392,65"
15,2014,set,SANEAMENTO,"350.000,00","0,00","0,00"
16,2014,set,GESTAO AMBIENTAL,"112.173.066,00","6.102.941,87","57.271.620,61"
17,2014,set,CIENCIA E TECNOLOGIA,"26.718.000,00","15.021,07","462.532,84"
18,2014,set,AGRICULTURA,"105.000,00","0,00","0,00"
19,2014,set,COMERCIO E SERVICOS,"129.279.438,00","7.108.972,90","56.696.594,42"
