,ano,mes,descrição da despesa,Valor Anual Previsto na LOA,valor mensal empenhado,Valor Acumulado
0,2010,dez,LEGISLATIVA,"83.500.976,00","4.716.215,96","82.698.108,37"
1,2010,dez,ESSENCIAL A JUSTICA,"21.946.588,00","3.171.516,62","24.672.924,31"
2,2010,dez,ADMINISTRACAO,"417.682.590,00","42.307.955,78","355.121.372,61"
3,2010,dez,SEGURANCA PUBLICA,"82.077.294,00","7.338.359,70","81.099.429,47"
4,2010,dez,ASSISTENCIA SOCIAL,"86.105.362,00","7.098.174,92","57.981.983,40"
5,2010,dez,PREVIDENCIA SOCIAL,"256.141.030,00","28.271.103,05","220.851.384,68"
6,2010,dez,SAUDE,"1.074.375.853,00","119.180.105,22","1.096.056.822,50"
7,2010,dez,TRABALHO,"12.980.317,00","1.641.385,12","8.241.024,12"
8,2010,dez,EDUCACAO,"674.079.502,00","83.080.066,17","659.366.811,76"
9,2010,dez,CULTURA,"63.770.546,00","9.178.143,55","31.217.869,22"
10,2010,dez,DIREITOS DA CIDADANIA,"22.860.039,00","2.075.591,10","21.842.602,06"
11,2010,dez,URBANISMO,"605.096.022,00","42.021.345,83","431.271.092,21"
12,2010,dez,HABITACAO,"180.983.296,00","7.142.845,95","65.388.303,08"
13,2010,dez,SANEAMENTO,"9.724.009,00","0,00","196.001,52"
14,2010,dez,GESTAO AMBIENTAL,"70.859.641,00","7.797.235,78","58.695.940,50"
15,2010,dez,CIENCIA E TECNOLOGIA,"6.059.750,00","230.720,00","1.316.720,00"
16,2010,dez,COMERCIO E SERVICOS,"28.515.014,00","2.132.366,45","9.818.538,36"
17,2010,dez,DESPORTO E LAZER,"57.392.997,00","8.819.478,06","47.584.534,02"
18,2010,dez,ENCARGOS ESPECIAIS,"100.376.174,00","16.464.576,07","112.544.830,66"
19,2010,dez,RESERVA DE CONTINGENCIA,"2.050.000,00","0,00","0,00"
20,2010,dez,TOTAIS,"3.856.577.000,00","392.667.185,33","3.365.966.292,85"
0,2010,nov,LEGISLATIVA,"83.500.976,00","5.627.122,68","77.981.892,41"
1,2010,nov,ESSENCIAL A JUSTICA,"21.946.588,00","1.995.163,17","21.501.407,69"
2,2010,nov,ADMINISTRACAO,"417.682.590,00","29.889.974,02","312.813.416,83"
3,2010,nov,SEGURANCA PUBLICA,"82.077.294,00","6.237.918,07","73.761.069,77"
4,2010,nov,ASSISTENCIA SOCIAL,"86.105.362,00","6.133.063,81","50.883.808,48"
5,2010,nov,PREVIDENCIA SOCIAL,"256.141.030,00","17.610.264,58","192.580.281,63"
6,2010,nov,SAUDE,"1.074.375.853,00","94.599.119,91","976.876.717,28"
7,2010,nov,TRABALHO,"12.980.317,00","1.434.165,78","6.599.639,00"
8,2010,nov,EDUCACAO,"674.079.502,00","59.481.522,67","576.286.745,59"
9,2010,nov,CULTURA,"63.770.546,00","2.629.706,93","22.039.725,67"
10,2010,nov,DIREITOS DA CIDADANIA,"22.860.039,00","1.963.142,52","19.767.010,96"
11,2010,nov,URBANISMO,"605.096.022,00","43.736.448,92","389.249.746,38"
12,2010,nov,HABITACAO,"180.983.296,00","4.961.131,25","58.245.457,13"
13,2010,nov,SANEAMENTO,"9.724.009,00","0,00","196.001,52"
14,2010,nov,GESTAO AMBIENTAL,"70.859.641,00","4.598.208,64","50.898.704,72"
15,2010,nov,CIENCIA E TECNOLOGIA,"6.059.750,00","270.000,00","1.086.000,00"
16,2010,nov,COMERCIO E SERVICOS,"28.515.014,00","1.119.683,16","7.686.171,91"
17,2010,nov,DESPORTO E LAZER,"57.392.997,00","1.237.781,05","38.765.055,96"
18,2010,nov,ENCARGOS ESPECIAIS,"100.376.174,00","5.746.310,00","96.080.254,59"
19,2010,nov,RESERVA DE CONTINGENCIA,"2.050.000,00","0,00","0,00"
20,2010,nov,TOTAIS,"3.856.577.000,00","289.270.727,16","2.973.299.107,52"
0,2010,out,LEGISLATIVA,"83.500.976,00","4.841.587,93","72.354.769,73"
1,2010,out,ESSENCIAL A JUSTICA,"21.946.588,00","1.910.595,88","19.506.244,52"
2,2010,out,ADMINISTRACAO,"417.682.590,00","25.952.890,86","282.923.442,81"
3,2010,out,SEGURANCA PUBLICA,"82.077.294,00","5.112.413,24","67.523.151,70"
4,2010,out,ASSISTENCIA SOCIAL,"86.105.362,00","6.409.936,52","44.750.744,67"
5,2010,out,PREVIDENCIA SOCIAL,"256.141.030,00","17.957.513,76","174.970.017,05"
6,2010,out,SAUDE,"1.074.375.853,00","90.424.832,23","882.277.597,37"
7,2010,out,TRABALHO,"12.980.317,00","719.486,06","5.165.473,22"
8,2010,out,EDUCACAO,"674.079.502,00","49.282.180,70","516.805.222,92"
9,2010,out,CULTURA,"63.770.546,00","1.362.354,76","19.410.018,74"
10,2010,out,DIREITOS DA CIDADANIA,"22.860.039,00","1.926.026,24","17.803.868,44"
11,2010,out,URBANISMO,"605.096.022,00","34.942.566,73","345.513.297,46"
12,2010,out,HABITACAO,"180.983.296,00","5.279.100,83","53.284.325,88"
13,2010,out,SANEAMENTO,"9.724.009,00","0,00","196.001,52"
14,2010,out,GESTAO AMBIENTAL,"70.859.641,00","4.775.784,48","46.300.496,08"
15,2010,out,CIENCIA E TECNOLOGIA,"6.059.750,00","135.000,00","816.000,00"
16,2010,out,COMERCIO E SERVICOS,"28.515.014,00","191.341,14","6.566.488,75"
17,2010,out,DESPORTO E LAZER,"57.392.997,00","9.151.487,43","37.527.274,91"
18,2010,out,ENCARGOS ESPECIAIS,"100.376.174,00","9.070.029,60","90.333.944,59"
19,2010,out,RESERVA DE CONTINGENCIA,"2.050.000,00","0,00","0,00"
20,2010,out,TOTAIS,"3.856.577.000,00","269.445.128,39","2.684.028.380,36"
0,2010,set,LEGISLATIVA,"83.500.976,00","7.202.411,77","67.513.181,80"
1,2010,set,ESSENCIAL A JUSTICA,"21.946.588,00","1.988.652,52","17.595.648,64"
2,2010,set,ADMINISTRACAO,"417.682.590,00","35.747.273,18","256.970.551,95"
3,2010,set,SEGURANCA PUBLICA,"82.077.294,00","12.384.699,41","62.410.738,46"
4,2010,set,ASSISTENCIA SOCIAL,"86.105.362,00","6.368.781,56","38.340.808,15"
5,2010,set,PREVIDENCIA SOCIAL,"256.141.030,00","17.624.515,72","157.012.503,29"
6,2010,set,SAUDE,"1.074.375.853,00","87.212.173,46","791.852.765,14"
7,2010,set,TRABALHO,"12.980.317,00","1.341.816,36","4.445.987,16"
8,2010,set,EDUCACAO,"674.079.502,00","48.230.656,12","467.523.042,22"
9,2010,set,CULTURA,"63.770.546,00","1.574.137,33","18.047.663,98"
10,2010,set,DIREITOS DA CIDADANIA,"22.860.039,00","1.698.005,26","15.877.842,20"
11,2010,set,URBANISMO,"605.096.022,00","47.386.866,48","310.570.730,73"
12,2010,set,HABITACAO,"180.983.296,00","4.477.517,91","48.005.225,05"
13,2010,set,SANEAMENTO,"9.724.009,00","0,00","196.001,52"
14,2010,set,GESTAO AMBIENTAL,"70.859.641,00","4.520.584,41","41.524.711,60"
15,2010,set,CIENCIA E TECNOLOGIA,"6.059.750,00","135.000,00","681.000,00"
16,2010,set,COMERCIO E SERVICOS,"28.515.014,00","638.309,41","6.375.147,61"
17,2010,set,DESPORTO E LAZER,"57.392.997,00","6.384.531,66","28.375.787,48"
18,2010,set,ENCARGOS ESPECIAIS,"100.376.174,00","7.753.895,09","81.263.914,99"
19,2010,set,RESERVA DE CONTINGENCIA,"2.050.000,00","0,00","0,00"
20,2010,set,TOTAIS,"3.856.577.000,00","292.669.827,65","2.414.583.251,97"
0,2010,ago,LEGISLATIVA,"83.500.976,00","5.212.346,21","60.310.770,03"
1,2010,ago,ESSENCIAL A JUSTICA,"21.946.588,00","2.001.927,19","15.606.996,12"
2,2010,ago,ADMINISTRACAO,"417.682.590,00","28.066.510,74","221.223.278,77"
3,2010,ago,SEGURANCA PUBLICA,"82.077.294,00","7.446.174,09","50.026.039,05"
4,2010,ago,ASSISTENCIA SOCIAL,"86.105.362,00","3.586.435,28","31.972.026,59"
5,2010,ago,PREVIDENCIA SOCIAL,"256.141.030,00","17.282.042,85","139.387.987,57"
6,2010,ago,SAUDE,"1.074.375.853,00","91.031.241,02","704.640.591,68"
7,2010,ago,TRABALHO,"12.980.317,00","443.705,37","3.104.170,80"
8,2010,ago,EDUCACAO,"674.079.502,00","52.469.009,33","419.292.386,10"
9,2010,ago,CULTURA,"63.770.546,00","1.368.627,00","16.473.526,65"
10,2010,ago,DIREITOS DA CIDADANIA,"22.860.039,00","1.871.593,25","14.179.836,94"
11,2010,ago,URBANISMO,"605.096.022,00","40.783.503,59","263.183.864,25"
12,2010,ago,HABITACAO,"180.983.296,00","4.613.129,20","43.527.707,14"
13,2010,ago,SANEAMENTO,"9.724.009,00","0,00","196.001,52"
14,2010,ago,GESTAO AMBIENTAL,"70.859.641,00","4.637.032,14","37.004.127,19"
15,2010,ago,CIENCIA E TECNOLOGIA,"6.059.750,00","181.000,00","546.000,00"
16,2010,ago,COMERCIO E SERVICOS,"28.515.014,00","1.609.693,31","5.736.838,20"
17,2010,ago,DESPORTO E LAZER,"57.392.997,00","5.060.883,18","21.991.255,82"
18,2010,ago,ENCARGOS ESPECIAIS,"100.376.174,00","9.521.006,46","73.510.019,90"
19,2010,ago,RESERVA DE CONTINGENCIA,"2.050.000,00","0,00","0,00"
20,2010,ago,TOTAIS,"3.856.577.000,00","277.185.860,21","2.121.913.424,32"
0,2010,jul,LEGISLATIVA,"83.500.976,00","8.718.735,66","55.098.423,82"
1,2010,jul,ESSENCIAL A JUSTICA,"21.946.588,00","1.859.502,86","13.605.068,93"
2,2010,jul,ADMINISTRACAO,"417.682.590,00","28.309.441,79","193.156.768,03"
3,2010,jul,SEGURANCA PUBLICA,"82.077.294,00","10.788.692,59","42.579.864,96"
4,2010,jul,ASSISTENCIA SOCIAL,"86.105.362,00","3.838.263,11","28.385.591,31"
5,2010,jul,PREVIDENCIA SOCIAL,"256.141.030,00","17.412.451,52","122.105.944,72"
6,2010,jul,SAUDE,"1.074.375.853,00","89.057.325,49","613.609.350,66"
7,2010,jul,TRABALHO,"12.980.317,00","558.246,23","2.660.465,43"
8,2010,jul,EDUCACAO,"674.079.502,00","54.193.328,30","366.823.376,77"
9,2010,jul,CULTURA,"63.770.546,00","2.523.230,12","15.104.899,65"
10,2010,jul,DIREITOS DA CIDADANIA,"22.860.039,00","2.005.626,42","12.308.243,69"
11,2010,jul,URBANISMO,"605.096.022,00","32.172.905,87","222.400.360,66"
12,2010,jul,HABITACAO,"180.983.296,00","4.817.102,16","38.914.577,94"
13,2010,jul,SANEAMENTO,"9.724.009,00","76.589,75","196.001,52"
14,2010,jul,GESTAO AMBIENTAL,"70.859.641,00","4.873.340,76","32.367.095,05"
15,2010,jul,CIENCIA E TECNOLOGIA,"6.059.750,00","0,00","365.000,00"
16,2010,jul,COMERCIO E SERVICOS,"28.515.014,00","1.822.211,44","4.127.144,89"
17,2010,jul,DESPORTO E LAZER,"57.392.997,00","698.655,61","16.930.372,64"
18,2010,jul,ENCARGOS ESPECIAIS,"100.376.174,00","10.214.192,71","63.989.013,44"
19,2010,jul,RESERVA DE CONTINGENCIA,"2.050.000,00","0,00","0,00"
20,2010,jul,TOTAIS,"3.856.577.000,00","273.939.842,39","1.844.727.564,11"
0,2010,jun,LEGISLATIVA,"83.500.976,00","6.048.874,12","46.379.688,16"
1,2010,jun,ESSENCIAL A JUSTICA,"21.946.588,00","2.532.826,05","11.745.566,07"
2,2010,jun,ADMINISTRACAO,"417.682.590,00","33.116.642,52","164.847.326,24"
3,2010,jun,SEGURANCA PUBLICA,"82.077.294,00","6.968.237,50","31.791.172,37"
4,2010,jun,ASSISTENCIA SOCIAL,"86.105.362,00","5.149.792,88","24.547.328,20"
5,2010,jun,PREVIDENCIA SOCIAL,"256.141.030,00","23.699.153,44","104.693.493,20"
6,2010,jun,SAUDE,"1.074.375.853,00","110.748.586,31","524.552.025,17"
7,2010,jun,TRABALHO,"12.980.317,00","255.873,48","2.102.219,20"
8,2010,jun,EDUCACAO,"674.079.502,00","69.445.413,33","312.630.048,47"
9,2010,jun,CULTURA,"63.770.546,00","1.759.164,82","12.581.669,53"
10,2010,jun,DIREITOS DA CIDADANIA,"22.860.039,00","1.885.104,23","10.302.617,27"
11,2010,jun,URBANISMO,"605.096.022,00","29.883.707,98","190.227.454,79"
12,2010,jun,HABITACAO,"180.983.296,00","3.820.486,63","34.097.475,78"
13,2010,jun,SANEAMENTO,"9.724.009,00","0,00","119.411,77"
14,2010,jun,GESTAO AMBIENTAL,"70.859.641,00","6.182.019,45","27.493.754,29"
15,2010,jun,CIENCIA E TECNOLOGIA,"6.059.750,00","181.000,00","365.000,00"
16,2010,jun,COMERCIO E SERVICOS,"28.515.014,00","398.417,86","2.304.933,45"
17,2010,jun,DESPORTO E LAZER,"57.392.997,00","3.688.027,75","16.231.717,03"
18,2010,jun,ENCARGOS ESPECIAIS,"100.376.174,00","8.016.462,87","53.774.820,73"
19,2010,jun,RESERVA DE CONTINGENCIA,"2.050.000,00","0,00","0,00"
20,2010,jun,TOTAIS,"3.856.577.000,00","313.779.791,22","1.570.787.721,72"
0,2010,mai,LEGISLATIVA,"83.500.976,00","4.965.534,84","40.330.814,04"
1,2010,mai,ESSENCIAL A JUSTICA,"21.946.588,00","1.890.103,06","9.212.740,02"
2,2010,mai,ADMINISTRACAO,"417.682.590,00","28.188.251,28","131.730.683,72"
3,2010,mai,SEGURANCA PUBLICA,"82.077.294,00","6.878.785,38","24.822.934,87"
4,2010,mai,ASSISTENCIA SOCIAL,"86.105.362,00","5.370.141,78","19.397.535,32"
5,2010,mai,PREVIDENCIA SOCIAL,"256.141.030,00","16.957.817,95","80.994.339,76"
6,2010,mai,SAUDE,"1.074.375.853,00","82.692.367,67","413.803.438,86"
7,2010,mai,TRABALHO,"12.980.317,00","622.101,87","1.846.345,72"
8,2010,mai,EDUCACAO,"674.079.502,00","50.262.497,10","243.184.635,14"
9,2010,mai,CULTURA,"63.770.546,00","650.762,39","10.822.504,71"
10,2010,mai,DIREITOS DA CIDADANIA,"22.860.039,00","2.016.198,76","8.417.513,04"
11,2010,mai,URBANISMO,"605.096.022,00","32.572.276,87","160.343.746,81"
12,2010,mai,HABITACAO,"180.983.296,00","8.752.083,39","30.276.989,15"
13,2010,mai,SANEAMENTO,"9.724.009,00","0,00","119.411,77"
14,2010,mai,GESTAO AMBIENTAL,"70.859.641,00","4.525.247,05","21.311.734,84"
15,2010,mai,CIENCIA E TECNOLOGIA,"6.059.750,00","-9.000,00","184.000,00"
16,2010,mai,COMERCIO E SERVICOS,"28.515.014,00","1.286.620,81","1.906.515,59"
17,2010,mai,DESPORTO E LAZER,"57.392.997,00","4.624.078,91","12.543.689,28"
18,2010,mai,ENCARGOS ESPECIAIS,"100.376.174,00","6.917.612,03","45.758.357,86"
19,2010,mai,RESERVA DE CONTINGENCIA,"2.050.000,00","0,00","0,00"
20,2010,mai,TOTAIS,"3.856.577.000,00","259.163.481,14","1.257.007.930,50"
0,2010,abr,LEGISLATIVA,"83.500.976,00","4.700.043,12","35.365.279,20"
1,2010,abr,ESSENCIAL A JUSTICA,"21.946.588,00","1.893.787,65","7.322.636,96"
2,2010,abr,ADMINISTRACAO,"417.682.590,00","27.090.847,89","103.542.432,44"
3,2010,abr,SEGURANCA PUBLICA,"82.077.294,00","5.501.483,88","17.944.149,49"
4,2010,abr,ASSISTENCIA SOCIAL,"86.105.362,00","4.352.723,22","14.027.393,54"
5,2010,abr,PREVIDENCIA SOCIAL,"256.141.030,00","16.835.062,82","64.036.521,81"
6,2010,abr,SAUDE,"1.074.375.853,00","83.108.668,17","331.111.071,19"
7,2010,abr,TRABALHO,"12.980.317,00","627.021,72","1.224.243,85"
8,2010,abr,EDUCACAO,"674.079.502,00","53.144.431,34","192.922.138,04"
9,2010,abr,CULTURA,"63.770.546,00","3.314.822,30","10.171.742,32"
10,2010,abr,DIREITOS DA CIDADANIA,"22.860.039,00","1.752.126,31","6.401.314,28"
11,2010,abr,URBANISMO,"605.096.022,00","40.153.911,11","127.771.469,94"
12,2010,abr,HABITACAO,"180.983.296,00","1.620.413,96","21.524.905,76"
13,2010,abr,SANEAMENTO,"9.724.009,00","119.411,77","119.411,77"
14,2010,abr,GESTAO AMBIENTAL,"70.859.641,00","4.142.755,60","16.786.487,79"
15,2010,abr,CIENCIA E TECNOLOGIA,"6.059.750,00","-75.842,00","193.000,00"
16,2010,abr,COMERCIO E SERVICOS,"28.515.014,00","366.297,49","619.894,78"
17,2010,abr,DESPORTO E LAZER,"57.392.997,00","2.528.552,57","7.919.610,37"
18,2010,abr,ENCARGOS ESPECIAIS,"100.376.174,00","9.374.001,71","38.840.745,83"
