,ano,mes,descrição da despesa,Valor Anual Previsto na LOA,valor mensal empenhado,Valor Acumulado
0,2012,dez,LEGISLATIVA,"114.713.200,00","7.820.392,86","111.159.527,23"
1,2012,dez,ESSENCIAL A JUSTICA,"36.262.467,00","4.035.851,97","31.877.523,07"
2,2012,dez,ADMINISTRACAO,"516.934.183,00","55.617.019,21","493.092.109,88"
3,2012,dez,SEGURANCA PUBLICA,"116.376.084,00","10.089.135,87","116.709.503,89"
4,2012,dez,ASSISTENCIA SOCIAL,"107.569.501,00","4.757.651,72","81.180.672,47"
5,2012,dez,PREVIDENCIA SOCIAL,"353.000.000,00","40.126.692,22","315.388.488,76"
6,2012,dez,SAUDE,"1.387.865.586,00","128.155.279,26","1.396.271.381,53"
7,2012,dez,TRABALHO,"25.832.321,00","852.739,44","13.004.595,87"
8,2012,dez,EDUCACAO,"905.575.000,00","87.731.232,06","851.076.473,41"
9,2012,dez,CULTURA,"99.861.612,00","6.310.866,76","50.230.328,42"
10,2012,dez,DIREITOS DA CIDADANIA,"30.410.033,00","1.248.827,60","13.382.461,07"
11,2012,dez,URBANISMO,"886.855.212,00","57.164.397,60","626.013.735,59"
12,2012,dez,HABITACAO,"124.335.801,00","10.633.016,83","82.219.305,66"
13,2012,dez,SANEAMENTO,"3.072.821,00","0,00","0,00"
14,2012,dez,GESTAO AMBIENTAL,"86.615.959,00","10.560.363,65","72.524.691,43"
15,2012,dez,CIENCIA E TECNOLOGIA,"5.784.218,00","0,00","1.044.350,00"
16,2012,dez,COMERCIO E SERVICOS,"98.799.957,00","4.150.668,93","22.566.049,92"
17,2012,dez,DESPORTO E LAZER,"30.883.591,00","933.381,47","14.771.125,33"
18,2012,dez,ENCARGOS ESPECIAIS,"126.172.954,00","15.638.247,98","111.742.483,61"
19,2012,dez,RESERVA DE CONTINGENCIA,"53.500,00","0,00","0,00"
20,2012,dez,TOTAIS,"5.056.974.000,00","445.825.765,43","4.404.254.807,14"
0,2012,nov,LEGISLATIVA,"114.713.200,00","8.251.612,70","103.339.134,37"
1,2012,nov,ESSENCIAL A JUSTICA,"36.262.467,00","2.559.503,75","27.841.671,10"
2,2012,nov,ADMINISTRACAO,"516.934.183,00","33.359.147,76","437.475.090,67"
3,2012,nov,SEGURANCA PUBLICA,"116.376.084,00","9.337.016,33","106.620.368,02"
4,2012,nov,ASSISTENCIA SOCIAL,"107.569.501,00","8.125.418,91","76.423.020,75"
5,2012,nov,PREVIDENCIA SOCIAL,"353.000.000,00","25.317.646,87","275.261.796,54"
6,2012,nov,SAUDE,"1.387.865.586,00","125.871.471,97","1.268.116.102,27"
7,2012,nov,TRABALHO,"25.832.321,00","2.017.887,40","12.151.856,43"
8,2012,nov,EDUCACAO,"905.575.000,00","66.725.645,17","763.345.241,35"
9,2012,nov,CULTURA,"99.861.612,00","3.048.294,33","43.919.461,66"
10,2012,nov,DIREITOS DA CIDADANIA,"30.410.033,00","975.505,62","12.133.633,47"
11,2012,nov,URBANISMO,"886.855.212,00","26.622.656,89","568.849.337,99"
12,2012,nov,HABITACAO,"124.335.801,00","1.309.093,51","71.586.288,83"
13,2012,nov,SANEAMENTO,"3.072.821,00","0,00","0,00"
14,2012,nov,GESTAO AMBIENTAL,"86.615.959,00","5.145.980,52","61.964.327,78"
15,2012,nov,CIENCIA E TECNOLOGIA,"5.784.218,00","-75.000,00","1.044.350,00"
16,2012,nov,COMERCIO E SERVICOS,"98.799.957,00","-416.399,93","18.415.380,99"
17,2012,nov,DESPORTO E LAZER,"30.883.591,00","103.173,96","13.837.743,86"
