,ano,mes,descrição da despesa,Valor Anual Previsto na LOA,valor mensal empenhado,Valor Acumulado
0,2015,dez,LEGISLATIVA,"154.787.032,00","8.986.428,83","140.247.165,04"
1,2015,dez,JUDICIARIA,"43.699.679,00","5.079.830,13","40.900.607,03"
2,2015,dez,ESSENCIAL A JUSTICA,"107.000,00","60.154,00","215.359,37"
3,2015,dez,ADMINISTRACAO,"666.270.824,00","90.576.319,79","586.015.373,87"
4,2015,dez,SEGURANCA PUBLICA,"163.026.096,00","24.894.293,07","172.601.569,67"
5,2015,dez,ASSISTENCIA SOCIAL,"90.664.416,00","12.939.548,24","93.316.831,40"
6,2015,dez,PREVIDENCIA SOCIAL,"552.492.087,00","76.519.645,11","581.619.107,83"
7,2015,dez,SAUDE,"1.903.099.997,00","252.428.905,12","1.878.763.476,00"
8,2015,dez,TRABALHO,"15.602.777,00","588.217,66","4.710.229,58"
9,2015,dez,EDUCACAO,"1.307.877.548,00","167.006.126,04","1.197.158.498,45"
10,2015,dez,CULTURA,"57.985.508,00","5.558.669,88","32.255.792,19"
11,2015,dez,DIREITOS DA CIDADANIA,"54.121.307,00","2.332.212,09","28.098.203,37"
12,2015,dez,URBANISMO,"877.454.275,00","91.646.892,85","770.287.124,92"
13,2015,dez,HABITACAO,"105.298.590,00","3.563.767,61","24.043.794,60"
14,2015,dez,SANEAMENTO,"161.000,00","0,00","0,00"
15,2015,dez,GESTAO AMBIENTAL,"88.935.070,00","20.259.244,48","94.065.389,72"
16,2015,dez,CIENCIA E TECNOLOGIA,"10.350.000,00","491.918,31","3.274.886,43"
17,2015,dez,AGRICULTURA,"105.000,00","0,00","0,00"
18,2015,dez,COMERCIO E SERVICOS,"153.202.822,00","21.455.634,43","47.022.243,44"
19,2015,dez,COMUNICACOES,"810.000,00","0,00","0,00"
20,2015,dez,DESPORTO E LAZER,"31.024.296,00","1.248.110,60","17.671.453,74"
21,2015,dez,ENCARGOS ESPECIAIS,"145.663.462,00","37.962.589,07","135.560.556,70"
22,2015,dez,RESERVA DE CONTINGENCIA,"704.078,00","0,00","0,00"
23,2015,dez,TOTAIS,"6.423.442.864,00","823.598.507,31","5.847.827.663,35"
0,2015,nov,LEGISLATIVA,"154.787.032,00","9.358.637,57","131.260.736,21"
1,2015,nov,JUDICIARIA,"43.699.679,00","3.336.096,30","35.820.776,90"
2,2015,nov,ESSENCIAL A JUSTICA,"107.000,00","5.000,00","155.205,37"
3,2015,nov,ADMINISTRACAO,"666.270.824,00","52.217.542,05","495.439.054,08"
4,2015,nov,SEGURANCA PUBLICA,"163.026.096,00","19.962.820,20","147.707.276,60"
5,2015,nov,ASSISTENCIA SOCIAL,"90.664.416,00","9.446.065,77","80.377.283,16"
6,2015,nov,PREVIDENCIA SOCIAL,"552.492.087,00","45.358.375,07","505.099.462,72"
7,2015,nov,SAUDE,"1.903.099.997,00","148.238.317,15","1.626.334.570,88"
8,2015,nov,TRABALHO,"15.602.777,00","450.016,18","4.122.011,92"
9,2015,nov,EDUCACAO,"1.307.877.548,00","80.817.420,21","1.030.152.372,41"
10,2015,nov,CULTURA,"57.985.508,00","3.247.674,34","26.697.122,31"
11,2015,nov,DIREITOS DA CIDADANIA,"54.121.307,00","3.755.570,12","25.765.991,28"
12,2015,nov,URBANISMO,"877.454.275,00","108.357.669,06","678.640.232,07"
13,2015,nov,HABITACAO,"105.298.590,00","1.645.906,78","20.480.026,99"
14,2015,nov,SANEAMENTO,"161.000,00","0,00","0,00"
15,2015,nov,GESTAO AMBIENTAL,"88.935.070,00","6.296.688,03","73.806.145,24"
16,2015,nov,CIENCIA E TECNOLOGIA,"10.350.000,00","240.746,58","2.782.968,12"
17,2015,nov,AGRICULTURA,"105.000,00","0,00","0,00"
18,2015,nov,COMERCIO E SERVICOS,"153.202.822,00","9.927.642,29","25.566.609,01"
19,2015,nov,COMUNICACOES,"810.000,00","0,00","0,00"
20,2015,nov,DESPORTO E LAZER,"31.024.296,00","-4.648.578,91","16.423.343,14"
21,2015,nov,ENCARGOS ESPECIAIS,"145.663.462,00","10.173.692,44","97.597.967,63"
22,2015,nov,RESERVA DE CONTINGENCIA,"704.078,00","0,00","0,00"
23,2015,nov,TOTAIS,"6.423.442.864,00","508.187.301,23","5.024.229.156,04"
0,2015,out,LEGISLATIVA,"154.787.032,00","8.023.253,77","121.902.098,64"
1,2015,out,JUDICIARIA,"43.699.679,00","3.494.101,10","32.484.680,60"
2,2015,out,ESSENCIAL A JUSTICA,"107.000,00","30.628,50","150.205,37"
3,2015,out,ADMINISTRACAO,"666.270.824,00","41.128.950,42","443.221.512,03"
4,2015,out,SEGURANCA PUBLICA,"163.026.096,00","12.561.473,35","127.744.456,40"
5,2015,out,ASSISTENCIA SOCIAL,"90.664.416,00","7.461.384,03","70.931.217,39"
6,2015,out,PREVIDENCIA SOCIAL,"552.492.087,00","44.779.871,91","459.741.087,65"
7,2015,out,SAUDE,"1.903.099.997,00","144.322.054,44","1.478.096.253,73"
8,2015,out,TRABALHO,"15.602.777,00","480.190,87","3.671.995,74"
9,2015,out,EDUCACAO,"1.307.877.548,00","94.636.727,79","949.334.952,20"
10,2015,out,CULTURA,"57.985.508,00","2.680.650,98","23.449.447,97"
11,2015,out,DIREITOS DA CIDADANIA,"54.121.307,00","1.580.205,80","22.010.421,16"
12,2015,out,URBANISMO,"877.454.275,00","48.622.517,75","570.282.563,01"
13,2015,out,HABITACAO,"105.298.590,00","2.722.016,33","18.834.120,21"
14,2015,out,SANEAMENTO,"161.000,00","0,00","0,00"
15,2015,out,GESTAO AMBIENTAL,"88.935.070,00","6.675.761,48","67.509.457,21"
16,2015,out,CIENCIA E TECNOLOGIA,"10.350.000,00","309.500,58","2.542.221,54"
17,2015,out,AGRICULTURA,"105.000,00","0,00","0,00"
18,2015,out,COMERCIO E SERVICOS,"153.202.822,00","1.092.430,08","15.638.966,72"
19,2015,out,COMUNICACOES,"810.000,00","0,00","0,00"
20,2015,out,DESPORTO E LAZER,"31.024.296,00","570.839,59","21.071.922,05"
21,2015,out,ENCARGOS ESPECIAIS,"145.663.462,00","10.812.219,40","87.424.275,19"
22,2015,out,RESERVA DE CONTINGENCIA,"704.078,00","0,00","0,00"
23,2015,out,TOTAIS,"6.423.442.864,00","431.984.778,17","4.516.041.854,81"
0,2015,set,LEGISLATIVA,"154.787.032,00","9.350.000,76","113.878.844,87"
1,2015,set,JUDICIARIA,"43.699.679,00","2.998.182,15","28.990.579,50"
2,2015,set,ESSENCIAL A JUSTICA,"107.000,00","37.461,00","119.576,87"
3,2015,set,ADMINISTRACAO,"666.270.824,00","47.076.458,45","402.092.561,61"
4,2015,set,SEGURANCA PUBLICA,"163.026.096,00","13.960.740,58","115.182.983,05"
5,2015,set,ASSISTENCIA SOCIAL,"90.664.416,00","6.681.964,48","63.469.833,36"
6,2015,set,PREVIDENCIA SOCIAL,"552.492.087,00","46.534.090,28","414.961.215,74"
7,2015,set,SAUDE,"1.903.099.997,00","138.847.952,76","1.333.774.199,29"
8,2015,set,TRABALHO,"15.602.777,00","346.930,58","3.191.804,87"
9,2015,set,EDUCACAO,"1.307.877.548,00","86.666.340,95","854.698.224,41"
10,2015,set,CULTURA,"57.985.508,00","2.477.503,70","20.768.796,99"
11,2015,set,DIREITOS DA CIDADANIA,"54.121.307,00","2.617.561,96","20.430.215,36"
12,2015,set,URBANISMO,"877.454.275,00","39.670.400,49","521.660.045,26"
13,2015,set,HABITACAO,"105.298.590,00","2.458.189,10","16.112.103,88"
14,2015,set,SANEAMENTO,"161.000,00","0,00","0,00"
15,2015,set,GESTAO AMBIENTAL,"88.935.070,00","6.153.662,62","60.833.695,73"
