,ano,mes,descrição da despesa,Valor Anual Previsto na LOA,valor mensal empenhado,Valor Acumulado
0,2017,dez,LEGISLATIVA,"160.168.133,00","10.950.962,87","159.430.016,51"
1,2017,dez,JUDICIARIA,"46.852.084,00","4.665.814,84","37.485.740,46"
2,2017,dez,ESSENCIAL A JUSTICA,"589.136,00","5.307,45","306.663,53"
3,2017,dez,ADMINISTRACAO,"711.381.356,00","64.330.312,06","678.777.629,66"
4,2017,dez,SEGURANCA PUBLICA,"271.813.554,00","26.288.081,42","232.262.181,69"
5,2017,dez,ASSISTENCIA SOCIAL,"126.369.640,00","7.682.751,05","81.069.758,54"
6,2017,dez,PREVIDENCIA SOCIAL,"750.400.027,00","93.918.447,60","734.070.684,93"
7,2017,dez,SAUDE,"2.309.931.879,00","174.516.629,66","2.062.868.503,99"
8,2017,dez,TRABALHO,"14.051.770,00","6.007,30","629.925,31"
9,2017,dez,EDUCACAO,"1.497.813.528,00","137.229.908,32","1.350.315.671,24"
10,2017,dez,CULTURA,"96.365.773,00","2.119.328,84","43.347.750,02"
11,2017,dez,DIREITOS DA CIDADANIA,"61.994.260,00","1.270.608,61","25.655.762,91"
12,2017,dez,URBANISMO,"830.440.839,00","-4.070.499,34","721.762.007,91"
13,2017,dez,HABITACAO,"132.253.189,00","2.207.847,43","27.152.383,39"
14,2017,dez,GESTAO AMBIENTAL,"121.468.757,00","7.446.252,27","84.824.371,50"
15,2017,dez,CIENCIA E TECNOLOGIA,"9.062.081,00","298.032,62","3.384.134,52"
16,2017,dez,AGRICULTURA,"235.000,00","0,00","0,00"
17,2017,dez,COMERCIO E SERVICOS,"195.838.087,00","-547.643,89","6.384.502,12"
18,2017,dez,COMUNICACOES,"20.000,00","0,00","0,00"
19,2017,dez,DESPORTO E LAZER,"48.217.566,00","-187.035,75","14.737.338,58"
20,2017,dez,ENCARGOS ESPECIAIS,"202.025.565,00","60.013.537,90","261.192.797,54"
21,2017,dez,RESERVA DE CONTINGENCIA,"108.000,00","0,00","0,00"
22,2017,dez,TOTAIS,"7.587.400.224,00","588.144.651,26","6.525.657.824,35"
