,ano,mes,descrição da despesa,Valor Anual Previsto na LOA,valor mensal empenhado,Valor Acumulado
0,2013,dez,LEGISLATIVA,"125.765.590,00","5.062.680,13","119.947.768,50"
1,2013,dez,ESSENCIAL A JUSTICA,"37.617.695,00","5.308.136,54","39.295.114,78"
2,2013,dez,ADMINISTRACAO,"554.890.797,00","91.591.229,78","548.332.723,20"
3,2013,dez,SEGURANCA PUBLICA,"113.388.752,00","19.628.107,40","83.267.562,15"
4,2013,dez,ASSISTENCIA SOCIAL,"114.323.940,00","12.098.660,73","83.292.746,00"
5,2013,dez,PREVIDENCIA SOCIAL,"399.440.000,00","50.432.849,77","368.488.691,50"
6,2013,dez,SAUDE,"1.600.795.109,00","203.570.024,55","1.546.273.704,64"
7,2013,dez,TRABALHO,"21.192.995,00","304.883,10","4.802.086,45"
8,2013,dez,EDUCACAO,"1.015.299.857,00","122.207.923,79","918.029.711,18"
9,2013,dez,CULTURA,"90.266.544,00","5.254.147,31","36.721.858,05"
10,2013,dez,DIREITOS DA CIDADANIA,"31.255.448,00","1.494.566,66","25.056.873,05"
11,2013,dez,URBANISMO,"950.102.501,00","173.171.831,41","695.685.946,97"
12,2013,dez,HABITACAO,"120.314.473,00","3.187.900,20","31.908.263,73"
13,2013,dez,SANEAMENTO,"3.513.362,00","0,00","0,00"
14,2013,dez,GESTAO AMBIENTAL,"91.051.589,00","10.216.334,97","76.253.888,73"
15,2013,dez,CIENCIA E TECNOLOGIA,"4.552.862,00","89.600,00","89.600,00"
16,2013,dez,COMERCIO E SERVICOS,"143.081.860,00","26.336.986,31","68.928.325,37"
17,2013,dez,DESPORTO E LAZER,"23.681.820,00","1.262.834,97","5.922.309,74"
18,2013,dez,ENCARGOS ESPECIAIS,"144.774.755,00","25.661.763,80","159.743.495,87"
19,2013,dez,RESERVA DE CONTINGENCIA,"2.486.122,00","0,00","0,00"
20,2013,dez,TOTAIS,"5.587.796.071,00","756.880.461,42","4.812.040.669,91"
0,2013,nov,LEGISLATIVA,"125.765.590,00","8.940.113,33","114.885.088,37"
1,2013,nov,ESSENCIAL A JUSTICA,"37.617.695,00","3.222.300,42","33.986.978,24"
2,2013,nov,ADMINISTRACAO,"554.890.797,00","41.821.360,84","456.741.493,42"
3,2013,nov,SEGURANCA PUBLICA,"113.388.752,00","6.500.920,47","63.639.454,75"
4,2013,nov,ASSISTENCIA SOCIAL,"114.323.940,00","9.497.973,35","71.194.085,27"
5,2013,nov,PREVIDENCIA SOCIAL,"399.440.000,00","28.495.844,17","318.055.841,73"
6,2013,nov,SAUDE,"1.600.795.109,00","126.005.670,13","1.342.703.680,09"
7,2013,nov,TRABALHO,"21.192.995,00","149.611,06","4.497.203,35"
8,2013,nov,EDUCACAO,"1.015.299.857,00","82.860.828,24","795.821.787,39"
9,2013,nov,CULTURA,"90.266.544,00","4.367.462,23","31.467.710,74"
10,2013,nov,DIREITOS DA CIDADANIA,"31.255.448,00","9.996.822,11","23.562.306,39"
11,2013,nov,URBANISMO,"950.102.501,00","72.742.030,96","522.514.115,56"
12,2013,nov,HABITACAO,"120.314.473,00","1.992.375,63","28.720.363,53"
13,2013,nov,SANEAMENTO,"3.513.362,00","0,00","0,00"
14,2013,nov,GESTAO AMBIENTAL,"91.051.589,00","6.007.866,60","66.037.553,76"
15,2013,nov,CIENCIA E TECNOLOGIA,"4.552.862,00","0,00","0,00"
16,2013,nov,COMERCIO E SERVICOS,"143.081.860,00","8.399.024,12","42.591.339,06"
17,2013,nov,DESPORTO E LAZER,"23.681.820,00","1.539.650,21","4.659.474,77"
18,2013,nov,ENCARGOS ESPECIAIS,"144.774.755,00","13.167.025,58","134.081.732,07"
19,2013,nov,RESERVA DE CONTINGENCIA,"2.486.122,00","0,00","0,00"
20,2013,nov,TOTAIS,"5.587.796.071,00","425.706.879,45","4.055.160.208,49"
0,2013,out,LEGISLATIVA,"125.765.590,00","9.174.974,32","105.944.975,04"
1,2013,out,ESSENCIAL A JUSTICA,"37.617.695,00","3.292.904,74","30.764.677,82"
2,2013,out,ADMINISTRACAO,"554.890.797,00","50.114.350,49","414.920.132,58"
3,2013,out,SEGURANCA PUBLICA,"113.388.752,00","4.958.173,43","57.138.534,28"
4,2013,out,ASSISTENCIA SOCIAL,"114.323.940,00","8.268.990,84","61.696.111,92"
5,2013,out,PREVIDENCIA SOCIAL,"399.440.000,00","32.297.186,77","289.559.997,56"
6,2013,out,SAUDE,"1.600.795.109,00","144.884.609,59","1.216.698.009,96"
7,2013,out,TRABALHO,"21.192.995,00","29,21","4.347.592,29"
8,2013,out,EDUCACAO,"1.015.299.857,00","84.425.845,21","712.960.959,15"
9,2013,out,CULTURA,"90.266.544,00","3.002.569,64","27.100.248,51"
10,2013,out,DIREITOS DA CIDADANIA,"31.255.448,00","3.182.988,56","13.565.484,28"
11,2013,out,URBANISMO,"950.102.501,00","48.261.597,53","449.772.084,60"
12,2013,out,HABITACAO,"120.314.473,00","1.804.936,17","26.727.987,90"
13,2013,out,SANEAMENTO,"3.513.362,00","0,00","0,00"
14,2013,out,GESTAO AMBIENTAL,"91.051.589,00","5.803.136,80","60.029.687,16"
15,2013,out,CIENCIA E TECNOLOGIA,"4.552.862,00","0,00","0,00"
16,2013,out,COMERCIO E SERVICOS,"143.081.860,00","6.080.980,08","34.192.314,94"
17,2013,out,DESPORTO E LAZER,"23.681.820,00","249.233,08","3.119.824,56"
18,2013,out,ENCARGOS ESPECIAIS,"144.774.755,00","15.331.149,15","120.914.706,49"
19,2013,out,RESERVA DE CONTINGENCIA,"2.486.122,00","0,00","0,00"
20,2013,out,TOTAIS,"5.587.796.071,00","421.133.655,61","3.629.453.329,04"
0,2013,set,LEGISLATIVA,"125.765.590,00","6.705.736,63","96.770.000,72"
1,2013,set,ESSENCIAL A JUSTICA,"37.617.695,00","3.256.649,71","27.471.773,08"
2,2013,set,ADMINISTRACAO,"554.890.797,00","47.192.808,45","364.805.782,09"
3,2013,set,SEGURANCA PUBLICA,"113.388.752,00","6.325.907,44","52.180.360,85"
4,2013,set,ASSISTENCIA SOCIAL,"114.323.940,00","7.320.583,62","53.427.121,08"
5,2013,set,PREVIDENCIA SOCIAL,"399.440.000,00","28.046.951,04","257.262.810,79"
6,2013,set,SAUDE,"1.600.795.109,00","129.398.676,12","1.071.813.400,37"
7,2013,set,TRABALHO,"21.192.995,00","179.487,68","4.347.563,08"
8,2013,set,EDUCACAO,"1.015.299.857,00","72.222.824,30","628.535.113,94"
9,2013,set,CULTURA,"90.266.544,00","1.774.312,33","24.097.678,87"
